Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
OsomeFood,"Singapore-based company that produces fermentation-derived seafood and egg products, including a hardboiled egg under the brand ""OsomeEgg""",Biomass fermentation,"Eggs,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Eggs",Fish,Mycoprotein,Asia Pacific,Singapore,,Singapore ,https://www.osomefood.com,2020,Jason Fong,OsomeFood_Logo_-_Web_x60.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/kGwQQsn7C-FWKbfpPeE3rg/v3YAkJR-KPUutOlmiu--IGPZhOSHg4wo_VXmJSv77tRYlTyTS6ahhpxxMrQf20KTy8wSx73cPmpYplyVFOYGoITQK1ulrHSQLdEklBXO2evsxG4rtOO04_0I3CtUylBM_JvXlfAhutuOzg0cSh9gwdajRKs7vT25LKQD_IWzZpo/5dvtt4fS317HR1UCWhgLk2Sxv0ysKWprkI7FLHHKqvE)
Me&,Australia-based company that produces cultivated infant milk using human proteins ,Cultivated,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,Australia/New Zealand,Australia,,Clayton,https://www.meandma.com.au,2021,"Esha Saxena, Luis Malaver-Ortega",1627718977167.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/h1pHaz92P49DxvXgMuIjbQ/EJJJYgWBJogM9c_JfX-0QnuPO1R6jEZpVCDveRON-3KcRWKp8MQ8PVgUQcL9684qVH7_5Y4yUI0IHhaxV4Zw2zaHV7YVBSC31K1hOmf9GDKSrniXHMn9KLW_2CHErMhjdFv9dn75974YrWxdvlLshA/Czu8uDPbNJMeYJCXrDs-FwTKzFw6bhUTCzIFdQvjAhA)
Fisch Vom Feld,German-based plant based seafood company ,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,Fish,Hemp,Europe,Germany,,	Bremerhaven,https://www.fischvomfeld.de/,2020,,logo-fisch-vom-feld.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/f98ZLrNF7YRtFC3TPlUcYA/4_vm-Dwkzt1oQO1xIuHCbQxEpFcBW3YvKoyTWScQ9rwKgGidTd5tNmnWsa1qMriy25r1FZPME2M4DRXgQ6oiJk4ADXIV9uUUAoawOG1P3Kk88FDdSJGze5pnNezvxj-ZWEPltD3Siz7o5iRcVdMCNczNCmqBIxN6JzBrLXvG-QM/gtZUtcGfzTAgLRoNIzmlcEyPkB040KVYrXEZ_tkD1qo)
IMA seafood,Plant based seafood company producing a plant based salmon for sushi products,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,,Europe,United Kingdom,,,https://www.instagram.com/weareima/?hl=en,2017,,
Umiami,Plant based company producing private label whole cuts of meat. ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Chicken,Fish",,Europe,France,,paris,https://www.umiami.com/,2020,,umiami_logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/NEaq4JWACxGc_vNaHIJCXg/2YAWUApAgnv3rug5XR8ihaigLp7u9O9Z20UzRmG0SA-fwJJUZm-ykJ9fD15bxmjpBsMhvS1p49Vbg1__ErMzweu0JqZjp_ofC5rUNkijsgRPsXmg8bGA3DkWQ9hut4eFb5mk_sPKSl4LaDCJEsQBsA/FWnUoKIKg8J24pVA6JoinJTX4DwMwsm_rmliicsdRcc)
Save da Sea,Company producing plant-based smoked salmon,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Fish,,U.S. and Canada,Canada,BC,,https://www.savedasea.com/,2019,,savedasea_logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/j2BWlvv36PFTIn4iFN9eoA/RoYIUr4ou6tOgnNvPsbg-alqmBpHxme2JH9uul4RdQGBgEafvJj4Mk1kcOuQZL_WnxD8x1UXXzHkcTnDxb16n2uYL5UScJL0id1iX946AT1f5_Sq51DqjOAOHDpBaoa8wxo_QhcOfyyxDDIKZaT8Mg/BcxCg_AZG28ojqKhO3Bug8BKdr673XdWwkKJws_oCJo)
Betterfish,Company developing 100% plant-based tuna alternatives mainly created with proteins from the sea.,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,"Fish,Tuna",,Europe,Germany,,Berlin,https://betterfish.de/,2019,,1658832761906.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/M5IhljKrQTKfMNRFNXRBew/6IO_6j2KhXr87m4uHbFQ4tE1jwVXkBKFsMFTE6SVX0h9FwHo58PuD_WTv2wxzaJEamXpO0L27yQ4ifS2ZTVD5tFiDcxm7hWfFDt_DhgsrYW-2xRcYZi-LczKBn6f8b_t-SYPGsHZXGbWT_RFaFT-MA/pmM0dEIvC8qF7TYMSlcn0OWZW6MsysCpIiQHSA5ZvFk)
Mimic Seafood,Spanish seafood company making tuna from tomatoes ,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Tuna,,Europe,Spain,,madrid,https://mimicseafood.com/,2019,,1644928458782.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/dfld6FYTrNvTB_2dyZ1nSA/ibA6_GChYSOtSr3hAI7vPPB8KRwgLj1GZJffBj9g3vdYN1U33ocNbYMQeB3WkDeV0aCEgUvf0nfHf3g_mpPEWeZcrAkaOX5nAJ15_RVBNCfT6aF2MdkZgo3KreXDXG-yD10Q-fHGGBxNZCFNAGZxOA/tzFRFZ5WQgoQZAlfMYvFUnusXn7tepqWviYbcBRNs5c)
Mozza,Developing the science to create real dairy cheese from plants ,Plant molecular farming,Dairy,Specialized (focused on alternative proteins),"Crop development,End product formulation and manufacturing,Ingredient optimization",,,,U.S. and Canada,United States,California,Los Angeles,https://www.mozzafoods.com/,2018,Adam Tarshis,umog7cd8bhh8l4a7h0aw.jpeg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/yjWNqFen79Lj02DigIcRhg/AyMjbBXlRfiaDF-tjpI3x3p5hACeU-lbilRTBFUtNnwfZSN1xhGMMlfVQSqHKgAEMe1GAtNNlb4pbUwqENsdmi5VPhagb6ivD7X2Xd7k1xjUhUIKM4JWp3orQHmmzjHv4HG0JDVa17q0DZrddQ2SpGKfnbQ_rnrTOYUPNxf-MZc/1jN7jabfjO4S1a68mRfD6r14lwf5alONf4PH57WMU6w)
Meatafora,Israel-based company isolating and culturing farm animal stem cells inside plant-derived collagen microcarriers to produce cultivated meat,Cultivated,Meat,Specialized (focused on alternative proteins),Scaffolding and structure,,,,Africa/Middle East,Israel,,,www.meatafora.com,2021,,1644959342032.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Oacdw3-2Q_TTD848tW_MTg/e-75AwgSfxM7Grzntu5MiNyoy7ZES_p32ugXT55AIhW3VC3TB3X5jnYsyG_K7082_JzNzjAheTzcIrwGqPf9dz9-1lHleLBp0oYGbpyLFdtOITTnuT9W3d6ChqTu5RzQ0zrUB7QwkaveA1bFKabOOQ/hA5wB4JFB0T9wFNxEUUqfrXSV5LGE_CIIv48FOaKT-U)
Profuse Technology,"Israel-based company developing technology for optimization of the cell differentiation, fusion and maturation production-stage of cultivated meat",Cultivated,Meat,Specialized (focused on alternative proteins),Bioprocess design,,,,Africa/Middle East,Israel,,Kiryat Shmona,https://profuse-tech.com/,2021,,1630570754444.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/NT63f4vFtvNjCBqPtFOhMQ/KvYavkjJO6rL2HM3eIC5gJAt-U37TN6OXuWn3ea7kzU8rhWJcvSLXU8nj7ekIxdf86iuwC7CsklW1-4lEcWsOKJVZIQKtLH9BcpsEPm8pKoiSAEsp70CoGG0aQIf0BRWrzPT2xmH8qchSYQq1sUkQA/9iTFxevc4aIjlQ5dOukELW23GnYcmxFW25kG-U4-Mok)
IRA NOAH,"Malaysia-based company that produces plant-based and hybrid meat-plant products, primarily under the brand ""Nanka""",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken","Jackfruit,Mushrooms",Asia Pacific,Malaysia,,,https://nanka.in/,2015,,Nanka-Logo_2.webp (https://v5.airtableusercontent.com/v2/24/24/1704348000000/SnaQh6Qmv77R_K1EHt4JcA/Oa6_L7_9l0rlWxIF_THW-MOutgLISBVfQuMSjF8UqA5AJXzW_ibT6g9SekkkbTVIjgoVYYjasPPbVTWr6F_W5pvBP4zbbCq0slZEnKcu2j_jIqjmG-ZrJrMup6wqoaq_Z1Q5FlyYkGeZWocjL5e9TQ/xwrC2qxLgoagKnd3tcbmtG_lHdA6Gl1Izpc-tRddJJE)
Sooper Vegan,"Sri Lanka-based company that produces various soy-based vegetarian/vegan products, including meat patties and milk",Plant-based,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Milk",,Soy,Asia Pacific,Sri Lanka,,,https://www.facebook.com/SupersunVegeproducts/,1990,,
THE PACK,U.K.-based company producing nutritionally-complete plant-based dog food ,Plant-based,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Pet food,"Fish,Chicken,Beef/veal","Pea,Beans",Europe,United Kingdom,,London,https://thepackpet.com/,2020,"Damien Clarkson, Judy Nadel",the pack.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/NLJIKr83WbbNXjAOfwxPJw/GWQa2kvuKb8hcyEJ6pxC7eKUrql6jfUbuOBILp5fAXuKFhEtNZkri9PHeSGMK9gRbDH31GdjahFa2QQCi_lwy0DAYzxkv1tWkyJVshos6hPcjFokbl8QLRcDplJuLmc2uOYlxji18IoOj1PkFgbgeA/Pn8GKzpw-joETyApNI_90d-VEIdJP6BwbKh_64AtAh4)
"V-Dog, Inc.","U.S.-based manufacturer and wholesaler that produces plant-based dog food, treats, and chews, primarily under the brands ""V-Planet"" and ""KindKibble""",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Pet food,,"Pea,Lentils,Quinoa","Europe,U.S. and Canada,Asia Pacific",United States,California,San Francisco,www.v-dog.com,2005,,
Sadia Veg&Tal ,"Brazil-based subsidiary of BRF, providing plant based meat products and ready-to-eat meals. ",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other","Beef/veal,Chicken",,Latin America,Brazil,,São Paulo,https://www.sadia.com.br/vegtal/,1934,,Screenshot 2023-09-30 115657.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/9XWyg8kU-3aI1tuN2Mr9hg/_0iW3gI8Q7_VrIKt2cjs1ag3ziBYJm_8XW66ic7LZ3WpMfV4N0F1pm_g7YEnMpra2CdUADyfx6JtK6jSMa2PFg4qZ8y6w3jtmGSGoQNH00Wj0nK3aYIXQ8BABnUBFgEI6UgOjYcf9rWGCk-KkDDEmPuGoZTDDuR3d77VBKeor3k/Kfv5QaRNaHFLaSSoCAlH_OjeWvlAsbUMBowq-YJ-lUg)
Amazonika Mundi,"Brazil-based company producing various plant-based meat products, including burgers and meatballs, using Brazilian vegetables and fruits",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Other meat/seafood","Beef/veal,Pork","Cashew,Quinoa,Chickpea",Latin America,Brazil,,Niterói,https://amazonikamundi.com.br/,2012,Thiago and Bruno Rosolem,1615472137731.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/UuXj7HC0osPdrcfoxk-E0g/qPxVfwcqSvnsK7Dp-IqZ1_4POTSBolxCz3TrMWgdmIljShQlOAbR9ibpMdEUFadj8zjrnLeVA-HpDHA7mAru0ElArtBopeUNGCCfGdKdl3ywx8GnlXJM3QAZqDxVuWmTQpLMQ4Mybs040o9JesRkCg/CERFvIArg8zqsLlFnXjorMgyOWuStQycyRFqitP9iBE)
Cajueiro do Brasil,Brazil-based producer of cashew milk. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Cashew,Latin America,Brazil,,Natal,https://cajueiro.com.vc/,2016,Remy Dantas,1593636016470.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/PVn-dMfILcWwsg6iDJbQiA/ZOAc4uqHVbRPJ4f_33dIIQ5Owfyl177d0BjnGZ4G43dG98_IuOK3fR9nwF0Fd3GgJP3QusYG6_p4s7FKq-_MDXE_2wPBB6E2hAH_kRPGdGyNsStG53i-9hjoO_PrOhDYANSNUvckQOxxh0j9n1wCag/68Ykugj4IRemlJ-F9uXgYtfbNuX7GNh0Oj1nXmYKI0Y)
BASI.CO PLANT FOOD,"Brazil-based producer of plant-based dairy products, primarily cheeses. ",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Macadamia,Cashew,Coconut,Potato,Sunflower,Seaweed,Yeast",Latin America,Brazil,,Rio de Janeiro,https://basicoplantfood.com.br/,2017,"Cintia Lombardi, Marcelo Ribeiro",
Queijos da Terra,Brazilian producer of plant-based cheese. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Cashew,Macadamia",Latin America,Brazil,,São Paulo,https://www.linkedin.com/company/queijos-da-terra/,2020,Ilton Barros Daltro de Castro,1643131595545.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/0FuqJa_PhWT71QLViHJLSg/k5o3iqPO1tTP2DHKWfMG-6l0NC1cyJYsuZrsavNaTw30dHIv4WgZdS6nvdgfinYhTqL7soqCTFNwcy4oDsMSqWUmkF-cHuzBtC1E9rz-Y8Fb1QLQgIxOT2luB7AQTFZ-BPhWoqOumJbLCufXcMPq8g/66DB1HBv-DrUVekvLbOKcqKhzCkgKqfvbla_NtfR4zo)
Natura Veg,Brazil-based producer of meltable dairy-free cheese. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Algae,Palm",Latin America,Brazil,,São José dos Pinhais,https://naturaveg.com.br/site/,2005,,1613392233466.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/rhGl2aQFnld08xWmzJMimA/ekP8atcM8oQXslYZkmmJpiIovHh-y_kv79RktCZvWLuN3gPfXjslKe0PnwAONRtJlKK7J0IwXbiiL9aTYsuAU_CWT9uA-qnhJefoPmtHna6spqzWdB5p5_QHkGy_7j8EV5DOrh320QWW_bZHqWzcdw/KXgKLJZRrr_xK9T62VQp50E-bfzJPq4d4VqiLn05Y2o)
La Fauxmagerie,UK-based plant-based cheese seller that also produces a line of artisanal cheeses. 	,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Almond,Rice,Tapioca,Yeast,Soy,Mushrooms,Coconut",Europe,United Kingdom,,London,https://lafauxmagerie.com/,2019,"Rachel Stevens, Charlotte Stevens",1627520004401.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/6h_jo_oBieES0seXVvSnmw/ituBUgHAlcCPD_FP7B71Sl5jplOnesK214yPvxazJmhkYLx2TLhDtebaHIWSs1zxxWWU_uFjgvXIKY63mqoswxLruISJMQ0Sew5IbcOcA7CDsSHsuqAPVmxdFm8N9-WwKOxEmOJp7djPFQO37EMLIA/IRqTUoo_EQjWLbwx31D5LK2L_-XDkKEx0TGxxl0Gluc)
Ovegg,Brazilian producer of a plant-based egg product. ,Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,,Latin America,Brazil,,,https://www.facebook.com/0vegg,2019,,
Liven Proteins Corp.,"Canada-based precision fermentation company offering novel functional protein ingredients that can be used by the plant-based food industry to enhance the sensory qualities of food formulations. They make animal-free protein ingredients with identical textures and functional properties as animal proteins. Liven’s protein ingredients are produced by fermenting agri-food co-products, creating a circular economy.",Precision fermentation,"Ingredients and inputs,Seafood",Specialized (focused on alternative proteins),Ingredient optimization,,,,U.S. and Canada,Canada,,Toronto,https://livenproteins.ca,2020,"Fei Luo, Pratish Gawand",1641106368388.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/cq0xRypbQK_1CJbZhd8ndw/hATR2fWBqzytHFaXu2bb3Sv6P8GjhkiL2WWnesaUa6WMKrVjQmGENDUYSH3PIjSgnLNLuRp6brlXNSpumW5BApzQBwtpeIGA_KvTj3O0nC6cPJhw8rCpEa0EAT4b0M8Zg07cmN3ixCh622I8_Vug1w/GztnX_m0MVpRIECwm4Xn1RoChC0jCv4eti5l3GMHmNg)
MayaMilk,Turkey-based company that uses precision fermentation to produce animal-free dairy proteins and fats with the same sensory experience that animal-based dairy provides,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,,"Africa/Middle East,U.S. and Canada",Turkey,,Izmir,https://www.mayamilk.com,2021,Murat Badur,1632405325707.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/LvSwa3y4igH_jdxOAWg_0w/yR7Tngt-QjbomlAWW9j4wewIGaTc9P8TEDhes-PoGClNJC5rCc9ixqNL2DxyrpamsWUC816opZSUxr3V1HVSQniTyjiciHpL_Vk-1AWQBXFtkOy5RAv7aH1brpfQGGANm6ZfLOZJO-42Yrthy8UMMw/qgZSXkefaRJFgatGosz3GAtD3DEWSq5rZEE3Md-GYFQ)
Phyx44 Labs ,India-based company that produces animal-free dairy proteins & fats to recreate milk,Precision fermentation,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy,Oils and fats",,,Asia Pacific,India ,,Bangalore,https://www.phyx44.com,2021,,1667973030042.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/k_aovmDvneHGZkI3EdbLYg/YQVW-p_L7H3uwj1jAj0akK9S6JBJKBVRHKvB9EVgFGUVB6G7FfGAxB5H5SxJ-Jggpza0viX6D1aRDTQQsmT_IyjpfMQUGVQFbDvZrBUzVggpRdy1zad8SmAQesAdZNi0svSfPwX_2eATuviwjQSPWA/SIEji0IgEjWlDw8tEg70wq0DdOO2Ez3wYw4p7fSK5yo)
Fisheroo,"Singapore-based company using cellular agriculture technology to create surimi, a minced fish paste commonly found in East Asian cuisine",Cultivated,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,,Asia Pacific,Singapore,,Singapore,https://www.fisheroo.co,2021,"Chua Yu Xiang Aaron, Jian Bin Tan, Nicholas Chia",fisheroo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/kJvEAia9r8HS7xOUx8Lpxg/t_tT-GtjbGzoDjub8Jed9TFbUmflzlqIPjKSSMf4sSO9XtdH4E0WKdoapKelf3PyH05_drFXQuv-_btZgy-6HZk4Hn60yrf0YJIqfqCskNjmGlfBlUdwO_ry7d151qHKxLUy7qXhGr8CZoRRoFhpng/J4P61cuWN9cEZkkWgOpjqENoQ04EFfFZIe4y8wT5AEo)
Monkeys by the Sea ,Plant-based seafood in the Netherlands. ,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,,Fish,,Europe,Netherlands,,Bergen op Zoom,https://monkeysbythesea.com/,2021,,1633548577824.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/UgsMQr8EaDpacoVdbUwrZw/MfKeuD7FH3XZ1fYB_1n2m2VkBzSjwwnCDRNEtWUQaf4WU442lUIOF7O1OH6vLlQ__Xz9xVDLi0KuCRrDhZFGFrWyL84eBrucT4I7rA4SajgIlgPMOXMuymnd5WiN7F70E0d8n419nLWiZhtWqMwlOw/18wHxyzVNLAF0iGf0CZoF1JOp-zHMl3zSCy8ngR0bpQ)
Ocean Secrets,Israel-based company producing vegan caviar.,Plant-based,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Other,"Soy,Canola,Seaweed",Africa/Middle East,Israel,,Kiryat Bialik,https://www.oceansecrets.co.il/about.html,2008,,logo (3).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/BiStDwTHGdp2LpwI3RzWcQ/dO1ymwgJO2eu8SLooNSHqHx1MTRMeq-uPgfXWd_I15v2aFiANHN4QyImU-xSprvtGqZK6wABDJB-PzY8_Stpvp4do3FSg75bJ_8f3AniRGBFnBhebviFdYiDPQ_nqobZlENDMKB9dq_sS0_Kn5U_Ug/epKe7fldQrGv4iygzX-iyKn7YlRQY0baXZ6wcqzxvyU)
"Shiru, Inc.","US-based biotechnology research startup aimed at creating sustainable functional ingredients, starting with gelatin and egg replacements, for alternative proteins and other plant-based foods.",Precision fermentation,"Meat,Dairy,Eggs,Ingredients and inputs",Specialized (focused on alternative proteins),"Ingredient optimization,Target molecule selection",Ingredients,,Other,U.S. and Canada,United States,California,Alameda,https://www.shiru.com/,2019,Dr. Jasmin Hume,Shiru Stacked Logo Green@2x (1).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ssEEJYE_rUAjRmyeTP3KUQ/ebUnVklh918xg_rxlCVDUOSJY4aGSloEozVh7ssMv4PRpSO1OXzxmV3FRU1omNZWFnmCo-Pa-ZTproqlyUtFg7bbZ2xYR3oqWQzh3pnAsCk1RNS66Gu5137WDlhmZdqtU8PfTFW8FWmEXKANfYF0TytSw7wL4zc96GQX6WwmXHM/BEbYV9r0Ei2BJ2QRw4wJfoap8Mit3I_6UhjsPmpaAqI)
Plant Ahead,Canadian company making plant based cheeses. ,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,,U.S. and Canada,Canada,,Montreal,www.plantaheadvegan.com,2019,Weins Distributing,Plant Ahead Logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/gE95w7JR19RA02Dm8FPaQQ/F80fSpbbgrVNegPFYp0viInr2TecoD4j7bSDPSbyRGdd4zAAnAPt6nf6sfjtM2ZQMkQPc3p0CTwOaOzalDmCW01s5y2eDVdTlx6a1fsuqaQkiw87mPyuFlC2giYgbPW-rDb0OP3dbh4THkBj0lgD5w/w-8S-CoHzcW6VfOplHE5JPfrBi7HcgCiCpZ0UJnzTbQ)
"Luyef Biotechnologies, Inc. ",Chile-based cell-based meat company that has developed myoglobin protein to provide the flavor and aroma of real meat for plant-based meat alternatives and is also working on hybrid plant-based and cultivated meat products using an algae scaffold ,Cultivated,Meat,Specialized (focused on alternative proteins),"Bioprocess design,Scaffolding and structure",,,,Latin America,Chile,,Santiago,https://luyef.com,2020,"Dr. Andrea Villanueva, Dr. Kris Blanchard, Pamela Barroso",Sb0d3khM2SHfMGAEPMzAyli8omS1636964510900_200x200.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/pAKIhv4cNFDBfLS_We7itA/Ie0ChU-NCywKLv3dRFnm53D_rqWFIG1FiEwleL_edhMLR_tH7Gv_oQvfTiuQgJ0RqGpoNvWnxDtXDvmBAea3l3VEeVPc3i_wxAvGFvRhySU7PF77xqqmfSP9vL5uS-ZSsrvgW_pgdsRT18j0RE5q7ChyGip_jGUeDa4EgRZR8_qVwhGZJPmUvx-Y9H5KnV4B/mS0tM9EWEZLMsl-uQUvt7t6uKqwwVbeg9GfGCaRVmbo)
The VERY Food Co. ,VERY replace eggs and dairy in culinary applications.,Plant-based,"Eggs,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Eggs",,,Europe,France,,Paris,https://www.theveryfood.co,2021,Arnaud Delacour,Screenshot 2021-11-22 at 16.06.38.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/dujYZceBv2mbSdf2QNpH_A/A5ezkbzNcHxZ6Br2qxHxQILbJd3j4lQg3jaTENrcfLUkEwKIhZdU2ZFXjetF9W8Fh62LljbsjGrUWPmYP-G7tHjKx6dYJ6Ed28PtLinsnrqrlgGWViXroTaGWpXp_QYh8tZ1GjQKH_CjxE3fAEBB5cF4vHjdiCdKdDIK8vfDkYw/iZIZMaOknaU-4JGk0x1_N7jwPP-Xv-hiPoYS5Ssd6iQ)
YOFI Drinks,France-based company creating organic plant-based milk alternatives with peas,Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Pea,Europe,France,,Paris,https://www.yofi.bio/,2021, Benjamin Blum-Boukozba,YOFI-Logo-White-05_1a2eba1c-9974-46dd-bf21-b6a6a1ee6727_120x.avif (https://v5.airtableusercontent.com/v2/24/24/1704348000000/C4d5XOzduMrWa00f5izqlw/xTPzyvcqXsPJs0UnUZAYMUC741twcOnbx9i2gpWi2Kt9NmBOyR5joSHghq8FYcE8LqrNLrMOR5E6EcJXtS5aCW0x1a-QhPYPaoL03iDzF7Zghyf9Qt8HYdZjPNv7wNJewxxixuYFblUcT36IfwNAkjnwrq4vaQ6XMSv_ek12EveXvt3Mub3oGy44QEZGvf33LsrcrRQUqunaPl8g6WvnsQ/LQcgZzI26KlDxtbncOBJHBOAuer5xBwF719bdZUtl0s)
Be Leaf Corp. ,"U.S.-based company that produces plant-based food products, including meat (e.g. shrimp, bacon, chicken), eggs, and seasonings",Plant-based,"Meat,Eggs,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Eggs,Ground meat/seafood,Other meat/seafood",Shellfish,Soy,"U.S. and Canada,Asia Pacific",United States,California,,https://www.beleafvegan.com/,2017,,
Before the Butcher (BTB) Foods,"U.S.-based company producing various types of plant-based burgers, under the brands ""UNCUT"" and ""Mainstream""",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken",Soy,U.S. and Canada,United States,California,San Diego,https://btbfoods.com/,2017,Danny O'Malley,1683564670775.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/KU6yWNV9swXbOWMvi9qJ9Q/SwxrQ9O-6nEj7uHNIUDIMVnRwMxJewTot7P6SqtsszhX3wsEqozbp9gc9ki1BlDuci_ndSHBu4TlNKUmyBkn_wGgYe-RoA59JHxgVYfjKCBlpp9N2_xxndQAQK8s6oASmPtB_hZdpTH4ZmdZMlxHbQ/wokvS9Dv9qSHK0do2WNPETLpa16H5i2nwAiXSybG0pc)
Big Mountain Foods,"Canada-based company that produces plant-based food products, including crumbles and patties",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,"Pea,Potato",U.S. and Canada,Canada,,Vancouver,https://bigmountainfoods.com,1987,,1664901976077.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/KZfTaE8-OoTAC8Wj3Yy_HA/OzL4gT8vIu8p_G5_IGRaxSkqlWZdhl6DybZC1JQIHk0lAZdozsInGFmMhncaMFpVlNsAbqZ_FtTAYdaM2cdrFzjzwdZyuDp1henBhRVfK97BPdevhV9pFKSh0vGmT4ET4zFXh58i069Xs7TlwgwiUw/X-VVI3N0HyMXJZXcGF0d-mNY00W_WxmPIzq431hKE7A)
